a,b,x1,x2,y
left,low,19.945536387662504,3.85214120038979,0.0
left,low,20.674308066353493,4.098585619118175,1.0
right,high,20.346647025958433,2.7107604387194626,1.0
right,mid,18.699653829045985,5.2111542692543065,1.0
left,low,21.51851187887476,2.432390426907621,1.0
right,mid,20.989823705535017,3.6774523253171734,1.0
right,high,20.277680897136328,2.4873300559969604,0.0
right,mid,19.551410645704927,2.3549674965407372,0.0
right,low,20.96196624352397,3.1665930443154995,0.0
right,mid,19.172421360793678,3.562224297579924,1.0
