Intercept,a[T.right],b[T.low],b[T.mid],a[T.right]:b[T.low],a[T.right]:b[T.mid],x1,x1:a[T.right],x1:b[T.low],x1:b[T.mid],x2,x2:a[T.right],x2:b[T.low],x2:b[T.mid],x1:x2
1.0,0.0,1.0,0.0,0.0,0.0,19.945536387662504,0.0,19.945536387662504,0.0,3.85214120038979,0.0,3.85214120038979,0.0,76.83302248278848
1.0,0.0,1.0,0.0,0.0,0.0,20.674308066353493,0.0,20.674308066353493,0.0,4.098585619118175,0.0,4.098585619118175,0.0,84.73542172597531
1.0,1.0,0.0,0.0,0.0,0.0,20.346647025958433,20.346647025958433,0.0,0.0,2.7107604387194626,2.7107604387194626,0.0,0.0,55.154885818557126
1.0,1.0,0.0,1.0,0.0,1.0,18.699653829045985,18.699653829045985,0.0,18.699653829045985,5.2111542692543065,5.2111542692543065,0.0,5.2111542692543065,97.44678088481062
1.0,0.0,1.0,0.0,0.0,0.0,21.51851187887476,0.0,21.51851187887476,0.0,2.432390426907621,0.0,2.432390426907621,0.0,52.341422295472896
1.0,1.0,0.0,1.0,0.0,1.0,20.989823705535017,20.989823705535017,0.0,20.989823705535017,3.6774523253171734,3.6774523253171734,0.0,3.6774523253171734,77.18907599391727
1.0,1.0,0.0,0.0,0.0,0.0,20.277680897136328,20.277680897136328,0.0,0.0,2.4873300559969604,2.4873300559969604,0.0,0.0,50.437285161362595
1.0,1.0,0.0,1.0,0.0,1.0,19.551410645704927,19.551410645704927,0.0,19.551410645704927,2.3549674965407372,2.3549674965407372,0.0,2.3549674965407372,46.04293658215565
1.0,1.0,1.0,0.0,1.0,0.0,20.96196624352397,20.96196624352397,20.96196624352397,0.0,3.1665930443154995,3.1665930443154995,3.1665930443154995,0.0,66.3780165019193
1.0,1.0,0.0,1.0,0.0,1.0,19.172421360793678,19.172421360793678,0.0,19.172421360793678,3.562224297579924,3.562224297579924,0.0,3.562224297579924,68.29646521485958
